nombre,precio,artista,lugar,nota,n_opiniones,duracion
Ruta 66 Open Mic,3€,,Tropicana Beach Club Madrid,9.4,33.0,"Duración
75 minutos aproximadamente"
Silvia Sparks. El show de humor negro,11€,Silvia Sparks,El Golfo Comedy Club,9.2,51.0,"Duración
70 minutos"
Par de notas - Álvaro Seko y Fernando 'El Pelao',15€,"Alvaro Seko, Fernando 'El Pelao', La Chocita del Loro",Teatro Chocita del Loro - Gran Vía,9.1,56.0,"Duración
90 minutos"
La Factoría de la Comedia - Openmic,6€,Varios,El Sombrerero Comedy Club,9.4,120.0,"Duración
75 min / Castellano"
"Comedia Sin Miedo Open Mic , monologo de standup comedy","2,50€",El Gago,Estación Malasaña,9.6,64.0,"Duración
70 minutos aprox"
Eva Cabezas. A las calles,12€,,El Golfo Comedy Club,9.0,13.0,"Duración
70 minutos"
La Maricomedia - Un Show Drag Heterofriendly,8€,Dramma D'Onore,Clandestino Café Teatro,9.5,80.0,"Duración
1 HORA"
"Barbie Boy, un monólogo de comedia tartamuda",5€,El Gago,Estación Malasaña,9.7,37.0,"Duración
65 minutos aprox"
Monólogos - El Remate Producciones en Tropicana Beach Club,5€,,Tropicana Beach Club Madrid,9.6,23.0,"Duración
75-90 min aprox (incluye descanso)"
Vagos y maleantes,"7,50€",,Bala Perdida Club (Hotel Axel Madrid),9.4,147.0,"Duración
70 minutos"
Hay que tener Huevos / Así Si Malasaña,5€,Hay que tener Huevos,Así sí Malasaña,9.5,17.0,"Duración
90 minutos"
"Open Mic, La Trinchera",5€,"Iván el Morita, Oscar Nos, El Remate Producciones, Andrej Hillebrand",Tropicana Beach Club Madrid,9.3,14.0,"Duración
75 minutos aprox (incluye descanso)"
De Madrid Al Suelo,10€,"Juan de Dios, Oscar Nos",Abonavida,9.6,44.0,"Duración
70 minutos"
No te atasques con tu vida - Joan Natzari,10€,Joan Natzari,Teatro de las Aguas,8.6,228.0,"Duración
1 hora"
Momentos de ternura. Con Edu Halmoguera y Pablo Medina,12€,,El Golfo Comedy Club,9.0,17.0,"Duración
70 minutos"
Chic  Comedy - Monólogos,"3,50€","Javi Delpe, Javi DelPe Estupenda Bar",Estupenda Bar,9.0,194.0,"Duración
70-90 minutos aprox"
Los perros no hablan,8€,"Paco Páez, Charlie Under",Sala Kathedral,9.3,91.0,"Duración
1 hora y media"
Los Monólogos de Clandestino Café-Teatro Gran vía,8€,Varios,Clandestino Café Teatro,8.4,71.0,"Duración
1 hora"
¡Tampoco es para tanto! - Javi Bravo,8€,Javi Bravo,Estación Malasaña,9.3,140.0,"Duración
60 minutos"
No + Reglas,7€,"Carlos Moreno, Daniel Celester",Collage Burlesque,9.3,10.0,"Duración
70 minutos"
¡Hostia Patxi! un monólogo en Madrid,10€,Patxi Zubeldia,MadBeerHall,9.2,71.0,"Duración
70 min / Castellano"
El micro abierto de la Estupenda,3€,"Javi Delpe, Javi DelPe Estupenda Bar",Estupenda Bar,9.0,57.0,"Duración
70-90 minutos aprox"
Comedia sin Límites - Monólogos y mucho más,12€,"Juan Solo, Richard Salamanca",Beer Station - Sala 1,8.6,34.0,"Duración
70 minutos"
Archie Bezos.- graciOSO,12€,Archie Bezos,El Golfo Comedy Club,8.8,21.0,"Duración
70 minutos"
Dos Gordos muy Grasiosos,13€,"Javi Delpe, Aitor Vega",Vodevil Circus,9.5,29.0,"Duración
60 minutos"
Tinder Sorpresa,"15,50€",Andreu Casanova,Teatro Real Carlos III de Aranjuez,9.1,1822.0,"Duración
90 minutos aproximadamente"
Punch Comedy English.- Stand up Comedy in English,7€,Silvia Sparks,El Golfo Comedy Club,9.3,26.0,"Duración
90 minutos"
Juanma Molina y Ruinas Planchuelo - Del Sur,15€,"Ruinas Planchuelo, Juanma Molina, La Chocita del Loro",Teatro Chocita del Loro - Gran Vía,9.3,23.0,"Duración
90 minutos"
Luismi - Colocado cabe 4.0,15€,"La Chocita del Loro, Luismi",Teatro Chocita del Loro - Gran Vía,9.0,285.0,"Duración
90 minutos"
Fernando García - Lo que yo sé de las mujeres,17€,"Fernando García-Torres, La Chocita del Loro",Teatro Chocita del Loro - Gran Vía,8.9,345.0,"Duración
90 minutos"
Comedy Rally,7€,Bhonny Lorenzo,Estación Malasaña,9.1,73.0,"Duración
90 minutos"
Estación Comedy,"2,50€",,Estación Malasaña,8.6,137.0,"Duración
1 hora"
Kabraloker - Mas Loco Que Una Cabra,10€,Gustavo Biosca,Clandestino Café Teatro,8.8,57.0,"Duración
1 HORA"
Soy Tóxica,"7,50€","Victoria Santos, Yolanda Mora, Noa Sánchez ""La muñeka""",Bala Perdida Club (Hotel Axel Madrid),9.0,60.0,"Duración
70 minutos"
Probando material,7€,,El Golfo Comedy Club,8.3,12.0,"Duración
De 70 a 120 minutos (según show)"
"Dos Gordos muy Grasiosos, en Estupenda Bar",6€,"Javi Delpe, Aitor Vega, El Remate Producciones",Estupenda Bar,9.0,67.0,"Duración
75 minutos (con descanso)"
Si te ríes: ¡Gano! - Concurso de monólogos (En Galileo Galilei),10€,El Remate Producciones,Sala Galileo Galilei,8.5,58.0,"Duración
90 minutos"
"MILF (Mujer inteligente, libre y feliz)",10€,"Belén Caccia, Victoria Santos, Laura del Val, Vero Jofre, Sandra U, Paula Pirela, Tatiana Ruiz, Tatiana Cirese",Collage Burlesque,9.0,75.0,"Duración
1 hora"
"Daniel Fez. La vida Regulinchi, en Madrid",16€,Daniel Fez,Teatro Alcázar,,,"Tipo de audiencia
Adultos"
El Unipersonal de Luciano Mellera,20€,,Teatro EDP Gran Vía,,,"Edad mínima
18"
Momi Giardina - Cualquier cosa te llamamos,20€,,Pequeño Teatro Gran Vía de Madrid,,,"Idioma
Español"
Racional - Pablo Molinari en Madrid,20€,Pablo Molinari,Cinesa Fuencarral,,,"Duración
90 minutos"
Miki Dkai: Personal Trainer,12€,Miki Dkai,Teatro Arlequín Gran Vía,0.8,1.0,"Duración
70 minutos (sin descanso)"
Nacho García en El Golfo Comedy Club,11€,"Nacho García, El Golfo Comedy Club",El Golfo Comedy Club,9.6,6.0,"Duración
70 minutos"
Gente bien,10€,,Teatro de las Aguas,8.2,5.0,"Duración
60 minutos"
Alex Clavero y Karim - Noche de Monólogos,15€,"Alex Clavero, Karim, El francotirarock",Beer Station - Sala 1,10.0,2.0,"Duración
70 minutos"
Lo positivo de fracasar en el amor,"11,20€",Pablo Piñeiro,Teatro Lara - Sala Lola Membrives,,,"Horario(s) evento
19:30h, 13:00h"
