nombre_show,artistas_limpio
Miguel Sincero - Píkaro,Miguel Sincero
El caótico enamorar de Tristán,AUTOR: Francisco Florido
Cincuentañer@s,José Boto
Heterobásicos,Toni Moret - Pablo Alcaraz
Popurrí: Miguel Miguel en Platea,Miguel Miguel
La vida me importa un huevo,Arturo Cejas
Sujétame El Micrófono,"Vicente Pulki, Davis Corpa"
Humor de Perros,Miguel Martín
Comedia Imprevisible,Ismael Galletero
Capilladas,Palo Capilla
Pero Que Me Estas Contando!? - Monologo y Comedia,Nicolás Biffi
"Kalderas, Sin Filtro",Kalderas
Situaciones incómodas - Marcos Arizmendi,Marcos Arizmendi
Sin Pelos En La Lengua,Ismael Galán
"Comedia Canalla, El Incorrecto",Dani Acosta
El Humor De Los 90s Hoy,El Largo
Histéricas,Javi DelPe
Juanete Deltó: ¡de esta no salimos!,Javi DelPe
"Alicia Montoya, Payasa",
Mangos y Papayas,Javi DelPe
Ríete que es un chiste: Himar Armas & Juan Morales,Juan Morales
Pifostio: show de comedia,"Dani Aparicio, Nico Camino"
Ganso: el show de Edu J.,Edu J.
Micky McPhantom y Molina Gómez - ¿Todo Bien!,"Micky McPhantom, Molina Gómez"
Aquí no hay playa Summer Edition,Diego Arjona
Hay que Tener Huevos / Alcobendas Sanse- La Nota Rock,Dan Comedia
Carolina Noriega en Platea,
Nacho punto G en Platea,Nacho punto G
Álvaro Seko en Platea,Alvaro Seko
Ruinas Planchuelo en Platea,Ruinas Planchuelo
Solo Amalio en Platea,Marcos Arizmendi
Ismael Galán en Platea,Platea
Pepa Golden en Platea,
Miguel Sincero en Platea,
Juank en Platea,Juank
Mario Mechón en Platea,Mario Mechón
Jorge Gallardo en Platea,Jorge Gallardo
Oscar Bárez en Platea,Oscar Bárez
Dos de Cal,J. Piqueras
La Vida me Importa un Huevo - Un monólogo de Arturo Cejas,Arturo Cejas
El Capi es mi cuñao,Mario Ángel
¡Se vienen Cositas!,Cachiporri
Open Mic - Monólogos,rotativo
Zapatiburger: 4 cómicos + 1 batería + 1 cantante,Capitán Fornié
Tonta,Cristina Gómez
Sin pelos en la lengua,Ismael Galán
Micro Abierto Monólogos Madrid,rotativo
Comedia con Javi DelPe,"Javi Delpe, Javi DelPe"
"Dos Gordos muy Grasiosos, en Estación Malasaña","Javi Delpe, Aitor Vega"
Luis Gerónimo Abreu - Camas,Luis Gerónimo Abreu
Monólogos - El Remate Producciones en Estación Malasaña,
Monólogos en San Sebastián de los Reyes,varios
Si te ríes: ¡Gano! - Concurso monólogos (San Sebastián de los Reyes),rotativo
