show,tipo,precio,duracion,artista,local,nota,opiniones
Mangos y Papayas - Gran Vía,show,8.5,75.0,iván perlaza,Cervecería Valverde Comedy Club,9.8,81.0
Mangos y Papayas - Gran Vía,show,8.5,75.0, javi bueno,Cervecería Valverde Comedy Club,9.8,81.0
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,show,12.0,70.0,fer bleda,El Golfo Comedy Club,9.6,31.0
Carles Cuevas y Fer Bleda. Maric*n y Tontic*.,show,12.0,70.0, carles cuevas,El Golfo Comedy Club,9.6,31.0
Poco se habla de Sexo - Madrid,show,8.0,70.0, adrián serna,El Sombrerero Comedy Club,9.9,21.0
Albert Boira.- Que nos pille viviendo,show,12.0,70.0,albert boira,El Golfo Comedy Club,9.5,28.0
Fango - Rober Bodegas,show,18.0,60.0,rober bodegas,Pequeño Teatro Gran Vía de Madrid,9.5,355.0
"Borderline, Nico Lozano",show,10.0,60.0,nico lozano,Teatro de las Aguas,9.1,50.0
Mangos y Papayas: Javi Bueno & Iván Perlaza,show,9.0,70.0, iván perlará,Mad Beer Hall,9.8,37.0
"Malasañero para principantes, de Manu Kas",show,10.0,50.0,manu kas,Teatro de las Aguas,8.8,151.0
Super Duper. Mario Velasco,show,10.0,60.0,mario velasco,Teatro de las Aguas,9.4,30.0
Sparks- El show de humor negro - Silvia Sparks,show,12.0,70.0,silvia sparks,Beer Station,9.4,62.0
Paula Púa.- Traca. Un monólogo de una hija única.,show,11.0,70.0,paula púa,El Golfo Comedy Club,9.5,19.0
Ladys Night en Beer Station,show,11.0,70.0,nayra pérez,Beer Station,9.4,89.0
No Disparen al Cómico - Manu Chacón,show,10.0,70.0,manu chacón,Abonavida,9.8,201.0
"Femininity, un show de Patri Muñoz",show,11.0,70.0,patri muñoz,El Golfo Comedy Club,9.2,37.0
Juan Moreno presenta ¡Embustero!,show,10.0,70.0,juan moreno,Mad Beer Hall,9.4,43.0
Kalderas - Stand Up Comedy,show,11.0,60.0,kalderas,Beer Station,9.3,60.0
Alberto Sierra. De profesión: gafas.,show,11.0,70.0,alberto sierra,El Golfo Comedy Club,9.4,15.0
Sinacio presenta Toca Reír,show,12.0,90.0,sinacio,Beer Station,9.0,12.0
Vero Berenguer y Sandra U.- Enfermizas,show,11.0,70.0,sandra u,El Golfo Comedy Club,9.2,16.0
Vero Berenguer y Sandra U.- Enfermizas,show,11.0,70.0, vero berenguer,El Golfo Comedy Club,9.2,16.0
Lgtb Comedy Jam,show,5.0,90.0, libertad montero,Intruso Bar,9.4,155.0
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,show,8.0,70.0,bianca kovacs,Beer Station,9.3,23.0
Carmen Romero y Bianca Kovacs - Odio a la gente PODCAST,show,8.0,70.0, carmen romero,Beer Station,9.3,23.0
Malhablado - Un show de Raúl Fervé,show,10.0,70.0,raúl fervé,Beer Station,9.2,29.0
"Nacho García: Estoy mayor, en Madrid",show,10.0,80.0,nacho garcía,Cine Palacio de la Prensa,9.1,1138.0
Par de notas - Álvaro Seko y Fernando 'El Pelao',show,15.0,90.0,alvaro seko,Teatro Chocita del Loro - Gran Vía,9.1,56.0
Par de notas - Álvaro Seko y Fernando 'El Pelao',show,15.0,90.0, fernando 'el pelao',Teatro Chocita del Loro - Gran Vía,9.1,56.0
Eva Cabezas. A las calles,show,12.0,70.0,eva cabezas,El Golfo Comedy Club,9.0,13.0
La Maricomedia - Un Show Drag Heterofriendly,show,8.0,60.0,dramma d'onore,Clandestino Café Teatro,9.5,80.0
"Barbie Boy, un monólogo de comedia tartamuda",show,5.0,65.0,el gago,Estación Malasaña,9.7,37.0
Vagos y maleantes,show,7.5,70.0,edu battaner,Bala Perdida Club (Hotel Axel Madrid),9.4,147.0
Vagos y maleantes,show,7.5,70.0, serna,Bala Perdida Club (Hotel Axel Madrid),9.4,147.0
De Madrid Al Suelo,show,10.0,70.0,juan de dios,Abonavida,9.6,44.0
De Madrid Al Suelo,show,10.0,70.0, oscar nos,Abonavida,9.6,44.0
